GEOID,NAME,ST,dist_cent,dist_min,pop12,male,Over65,Over75,Deaths,AgeAdj,Crude,StdPop,dist_cent_sens,dist_min_sens,region,division,RUCC_2013,Urbanization,num_provs
08085,Montrose,CO,50.038628661579175,30.76409669582361,40994,0.4911450456164317,0.18085573498560764,0.07969458945211494,74,22.91356089,25.80933182,286718,50.038628661579175,30.76409669582361,WEST,Mountain,4,Nonmetro,0
12021,Collier,FL,26.743689146912665,0,323548,0.493676363321671,0.2668506682161534,0.12216116310408348,469,15.4679529,20.33555839,2306305,26.740099214329895,0,SOUTH,South Atlantic,2,Metro,6
12051,Hendry,FL,42.43358454158874,17.7517901789374,38669,0.538234761695415,0.11826010499366417,0.05192790090253174,85,32.50430095,31.47169029,270084,40.342234645917635,19.668876622177756,SOUTH,South Atlantic,4,Nonmetro,0
17147,Piatt,IL,22.12137146176899,9.928033108852462,16679,0.493914503267582,0.16601714731098988,0.07566400863361113,30,22.71623706,25.80223447,116269,22.105571969371432,9.9359905455149935,MIDWEST,East North Central,3,Metro,0
48097,Cooke,TX,32.632553111954174,16.830064018986903,38427,0.49660395034741195,0.15960132198714447,0.06987274572566164,68,23.9072753,25.23968421,269417,32.64680405317233,16.84397748606989,SOUTH,West South Central,6,Nonmetro,0
48113,Dallas,TX,9.991106307873997,0,2379214,0.4949365630834385,0.08835901268233963,0.03865898569863829,2120,13.76204162,12.54445961,16899891,7.999213773311137,0,SOUTH,West South Central,1,Metro,36
13307,Webster,GA,36.05900991358156,25.570102939468438,2773,0.4990984493328525,0.17886765236206276,0.05878110349801659,NA,NA,NA,19226,36.05914146240504,25.57023446725087,SOUTH,South Atlantic,8,Rural,0
17141,Ogle,IL,19.911971197097067,6.595470729907974,53378,0.49726479073775715,0.1536213421259695,0.06965416463711642,88,22.14988108,23.69534252,371381,19.837438544465062,6.518228856715807,MIDWEST,East North Central,4,Nonmetro,0
17157,Randolph,IL,32.88501594784424,19.91455858370016,33353,0.5474470062663028,0.16109495397715348,0.07861361796540041,78,30.73996815,33.53569402,232588,32.88156927053918,19.91900128814814,MIDWEST,East North Central,6,Nonmetro,0
47109,McNairy,TN,35.11440927931337,21.746660620926203,26001,0.4912118764662898,0.17568555055574786,0.07445867466635898,77,39.21929103,42.21005257,182421,35.09928571840219,21.73237037168647,SOUTH,East South Central,6,Nonmetro,0
